Designator,Mid X,Mid Y,Rotation,Layer
C1,122.0,-87.75,90.0,top
C2,124.0,-91.5,270.0,top
C3,124.0,-94.5,90.0,top
C4,141.0,-102.22,90.0,top
C5,124.02,-102.25,90.0,top
C6,146.75,-96.75,0.0,top
C8,155.75,-102.0,90.0,top
D1,119.5,-87.75,180.0,top
R1,119.5,-92.75,0.0,top
R10,151.0,-102.0,270.0,top
R2,119.5,-89.75,0.0,top
R3,138.75,-102.25,270.0,top
R4,135.75,-102.25,270.0,top
R5,122.0,-102.25,270.0,top
R6,119.0,-102.25,270.0,top
R9,154.0,-102.0,270.0,top
U1,129.0,-91.75,90.0,top
USB1,144.75,-92.9425,180.0,top
USBC1,114.2775,-91.0,270.0,top
USBC2,152.25,-107.2225,0.0,top
USBC3,137.08,-107.28,0.0,top
USBC4,120.25,-107.2225,0.0,top
